FID,navn,adresse,post_nr,postdistrikt,e_mail,link,id,vejkode,husnr,wkb_geometry
kulturhus.18,Kulturhuset Kapelvej,Kapelvej 44,2200,København N,stoeberiet@kff.kk.dk,https://kulturn.kk.dk/kapelvej-44,9,3564,44,MULTIPOINT ((12.551302695437665 55.686545865144716))
kulturhus.19,Osramhuset,Valhalsgade 4,2200,København N,Y72i@kff.kk.dk,https://kulturn.kk.dk/osramhuset,1,7936,4,MULTIPOINT ((12.549520843396955 55.70296754433467))
kulturhus.20,Støberiet,Blågårds Plads 5,2200,København N,stoeberiet@kff.kk.dk,https://kulturn.kk.dk/stoeberiet,8,0632,5,MULTIPOINT ((12.556770109016616 55.68609122673267))
kulturhus.21,Prøvehallen,Porcelænstorvet 4,2500,Valby,valbykulturhus@kff.kk.dk,https://kulturv.kk.dk/proevehallen,13,5571,4,MULTIPOINT ((12.509886321856758 55.66460370997827))
kulturhus.22,Kvarterhuset,Jemtelandsgade 3,2300,København S,mail@kvarterhuset.dk,https://kvarterhuset.kk.dk/,5,3364,3,MULTIPOINT ((12.603936487954098 55.66520367761543))
kulturhus.23,Kulturhuset Pilegården,Brønshøjvej 17,2700,Brønshøj,pilegaarden@kff.kk.dk,https://pilegaarden.kk.dk/,2,0944,17,MULTIPOINT ((12.498025892337388 55.701865277248395))
kulturhus.24,Huset-KBH,Rådhusstræde 13,1466,København K,info@huset-kbh.dk,https://www.huset-kbh.dk/ ,7,4584,12,MULTIPOINT ((12.575391045746683 55.676418476976835))
kulturhus.25,Onkel Dannys Plads,Onkel Dannys Plads 1-7,1711,København V,,https://www.onkeldannysplads.dk/,24,5306,1,MULTIPOINT ((12.561006414403076 55.66999390776669))
kulturhus.26,Dansekapellet,Bispebjerg Torv 1,2400,København NV,admin@dansekapellet.dk,https://www.dansekapellet.kk.dk ,26,0536,1,MULTIPOINT ((12.530166611846834 55.71624182650948))
kulturhus.27,Stairway,Lindehøjen 12,2720,Vanløse,stairway@kk.dk,https://stairway.kk.dk,36,4332,12,MULTIPOINT ((12.491826297671993 55.68651140581027))
kulturhus.28,BIBLIOTEKET Rentemestervej,Rentemestervej 76,2400,København NV,bibliotek@kff.kk.dk,https://bibliotek.kk.dk/bibliotek/rentemestervej,21,5804,76,MULTIPOINT ((12.522916217303862 55.708412031595216))
kulturhus.29,"BRØK, Brønshøj Kulturhus",Brønshøjvej 3,2700,Brønshøj,pilegaarden@kk.dk,https://kulturogfritidn.kk.dk/huse/broek,37,0944,3,MULTIPOINT ((12.497995012846614 55.70332008360622))
